Date,Time,Signal,Price,Open,High,Low,Close
2023.12.12,05:45:00,BUY,1985.75,1985.61,1986.37,1985.46,1985.75
2023.12.12,06:05:00,BUY,1986.07,1985.68,1986.12,1985.49,1986.07
2023.12.12,11:35:00,BUY,1985.0,1983.7,1985.18,1983.55,1985.0
2023.12.12,16:10:00,BUY,1988.28,1987.77,1989.79,1987.77,1988.28
2023.12.12,16:25:00,SELL,1983.73,1984.59,1985.39,1983.4,1983.73
2023.12.13,09:55:00,SELL,1979.27,1979.7,1979.76,1978.97,1979.27
2023.12.13,10:35:00,BUY,1980.84,1980.61,1981.1,1980.04,1980.84
2023.12.13,11:25:00,BUY,1980.9,1980.23,1980.99,1979.91,1980.9
2023.12.13,15:25:00,BUY,1981.89,1981.27,1982.43,1980.75,1981.89
2023.12.13,17:50:00,BUY,1981.33,1980.86,1981.83,1980.67,1981.33
2023.12.13,20:55:00,BUY,1982.13,1981.51,1982.42,1981.5,1982.13
2023.12.14,15:45:00,BUY,2035.83,2033.65,2036.0,2033.37,2035.83
2023.12.14,20:05:00,SELL,2031.9,2032.48,2032.79,2031.12,2031.9
2023.12.14,22:55:00,BUY,2036.34,2035.97,2036.43,2035.9,2036.34
2023.12.15,01:00:00,BUY,2036.52,2036.41,2036.7,2036.1,2036.52
2023.12.15,01:15:00,BUY,2037.52,2036.73,2038.18,2036.42,2037.52
2023.12.15,04:40:00,BUY,2037.29,2035.98,2037.3,2035.92,2037.29
2023.12.15,06:10:00,BUY,2036.6,2036.52,2036.72,2036.41,2036.6
2023.12.15,06:40:00,BUY,2036.68,2036.11,2037.26,2035.97,2036.68
2023.12.15,07:20:00,BUY,2036.94,2036.87,2037.22,2036.33,2036.94
2023.12.15,07:45:00,SELL,2035.51,2035.58,2035.89,2035.15,2035.51
2023.12.15,07:55:00,SELL,2035.3,2035.55,2036.03,2035.11,2035.3
2023.12.15,08:15:00,SELL,2035.55,2035.78,2035.88,2035.26,2035.55
2023.12.15,08:40:00,SELL,2034.98,2035.68,2035.68,2034.9,2034.98
2023.12.15,09:05:00,BUY,2036.42,2036.32,2037.34,2036.22,2036.42
2023.12.15,09:25:00,BUY,2037.6,2036.54,2038.08,2036.38,2037.6
2023.12.15,15:40:00,SELL,2028.59,2031.2,2032.31,2026.94,2028.59
2023.12.15,17:30:00,SELL,2035.9,2036.51,2037.25,2035.11,2035.9
2023.12.18,12:00:00,BUY,2023.37,2022.99,2024.88,2022.84,2023.37
2023.12.18,12:30:00,SELL,2021.26,2022.24,2022.38,2021.0,2021.26
2023.12.18,16:55:00,BUY,2024.27,2022.8,2024.48,2022.42,2024.27
2023.12.18,17:40:00,BUY,2023.6,2023.31,2023.77,2022.66,2023.6
2023.12.18,18:25:00,BUY,2023.47,2022.88,2023.7,2022.61,2023.47
2023.12.18,19:10:00,SELL,2021.72,2022.08,2022.17,2021.52,2021.72
2023.12.18,19:45:00,BUY,2028.64,2023.83,2030.42,2023.53,2028.64
2023.12.19,04:30:00,BUY,2026.14,2025.6,2026.2,2025.6,2026.14
2023.12.19,05:30:00,SELL,2023.7,2023.96,2024.4,2023.59,2023.7
2023.12.19,08:00:00,SELL,2024.05,2024.17,2024.58,2023.96,2024.05
2023.12.19,09:00:00,SELL,2024.3,2024.82,2024.9,2023.87,2024.3
2023.12.19,09:35:00,BUY,2025.85,2025.84,2026.37,2025.38,2025.85
2023.12.19,09:55:00,SELL,2024.92,2025.02,2025.14,2024.21,2024.92
2023.12.19,10:25:00,BUY,2027.0,2025.99,2027.04,2025.81,2027.0
2023.12.19,12:35:00,SELL,2024.99,2025.53,2025.58,2024.87,2024.99
2023.12.20,10:30:00,BUY,2041.44,2041.19,2041.6,2040.73,2041.44
2023.12.20,11:45:00,SELL,2039.99,2040.18,2040.35,2039.68,2039.99
2023.12.20,12:05:00,SELL,2039.35,2039.85,2039.92,2039.27,2039.35
2023.12.20,16:20:00,SELL,2035.4,2038.28,2038.47,2035.13,2035.4
2023.12.21,08:25:00,BUY,2035.64,2035.02,2035.68,2034.93,2035.64
2023.12.21,09:30:00,BUY,2036.05,2035.53,2036.35,2035.33,2036.05
2023.12.21,10:00:00,BUY,2035.81,2034.92,2036.09,2034.88,2035.81
2023.12.21,11:55:00,BUY,2035.45,2035.21,2035.54,2034.87,2035.45
2023.12.21,12:30:00,SELL,2034.3,2034.45,2034.73,2034.0,2034.3
2023.12.21,13:50:00,SELL,2034.19,2034.35,2034.62,2034.13,2034.19
2023.12.21,14:20:00,BUY,2035.68,2034.83,2035.96,2034.83,2035.68
2023.12.21,15:35:00,BUY,2042.08,2040.24,2042.17,2039.2,2042.08
2023.12.21,20:20:00,BUY,2039.28,2038.11,2040.16,2038.09,2039.28
2023.12.22,20:10:00,BUY,2057.57,2055.79,2057.67,2055.74,2057.57
2023.12.22,21:15:00,SELL,2054.25,2054.81,2055.1,2053.93,2054.25
2023.12.26,01:10:00,SELL,2054.28,2055.12,2055.12,2054.02,2054.28
2023.12.26,03:20:00,BUY,2057.72,2057.38,2057.99,2057.38,2057.72
2023.12.26,15:50:00,SELL,2060.06,2060.74,2060.78,2059.79,2060.06
2023.12.26,16:35:00,SELL,2056.38,2060.81,2060.81,2056.38,2056.38
2023.12.26,21:50:00,BUY,2061.88,2061.82,2062.09,2061.65,2061.88
2023.12.26,22:00:00,BUY,2062.2,2061.7,2062.29,2061.58,2062.2
2023.12.27,12:30:00,SELL,2063.23,2063.8,2064.04,2061.51,2063.23
2023.12.27,12:55:00,SELL,2064.75,2064.91,2064.96,2064.38,2064.75
2023.12.27,13:10:00,BUY,2066.14,2065.12,2066.15,2065.12,2066.14
2023.12.27,15:00:00,BUY,2068.12,2067.68,2068.31,2066.4,2068.12
2023.12.27,15:40:00,BUY,2068.38,2067.44,2068.4,2067.37,2068.38
2023.12.27,15:55:00,BUY,2068.38,2067.5,2068.94,2067.48,2068.38
2023.12.28,10:20:00,SELL,2080.11,2080.34,2080.66,2078.65,2080.11
2023.12.28,17:10:00,SELL,2079.1,2079.5,2080.29,2078.82,2079.1
